sample	condition	cell_line	replicate	fastq
no-treat_Ctrl_Caco2_R1	no_treat	Caco2	R1	/path/to/no-treat_Ctrl_Caco2_R1.merged.fq.gz
no-treat_Ctrl_Caco2_R2	no_treat	Caco2	R2	/path/to/no-treat_Ctrl_Caco2_R2.merged.fq.gz
no-treat_Ctrl_Caco2_R3	no_treat	Caco2	R3	/path/to/no-treat_Ctrl_Caco2_R3.merged.fq.gz
no-treat_Ctrl_HEK_R1	no_treat	HEK	R1	/path/to/no-treat_Ctrl_HEK_R1.merged.fq.gz
no-treat_Ctrl_HEK_R2	no_treat	HEK	R2	/path/to/no-treat_Ctrl_HEK_R2.merged.fq.gz
no-treat_Ctrl_HEK_R3	no_treat	HEK	R3	/path/to/no-treat_Ctrl_HEK_R3.merged.fq.gz
pb_Ctrl_Caco2_R1	pb_ctrl	Caco2	R1	/path/to/pb_Ctrl_Caco2_R1.merged.fq.gz
pb_Ctrl_Caco2_R2	pb_ctrl	Caco2	R2	/path/to/pb_Ctrl_Caco2_R2.merged.fq.gz
pb_Ctrl_Caco2_R3	pb_ctrl	Caco2	R3	/path/to/pb_Ctrl_Caco2_R3.merged.fq.gz
pb_Ctrl_HEK_R1	pb_ctrl	HEK	R1	/path/to/pb_Ctrl_HEK_R1.merged.fq.gz
pb_Ctrl_HEK_R2	pb_ctrl	HEK	R2	/path/to/pb_Ctrl_HEK_R2.merged.fq.gz
pb_Ctrl_HEK_R3	pb_ctrl	HEK	R3	/path/to/pb_Ctrl_HEK_R3.merged.fq.gz
treat_Caco2_R1	treat	Caco2	R1	/path/to/treat_Caco2_R1.merged.fq.gz
treat_Caco2_R2	treat	Caco2	R2	/path/to/treat_Caco2_R2.merged.fq.gz
treat_Caco2_R3	treat	Caco2	R3	/path/to/treat_Caco2_R3.merged.fq.gz
treat_HEK_R1	treat	HEK	R1	/path/to/treat_HEK_R1.merged.fq.gz
treat_HEK_R2	treat	HEK	R2	/path/to/treat_HEK_R2.merged.fq.gz
treat_HEK_R3	treat	HEK	R3	/path/to/treat_HEK_R3.merged.fq.gz
